WKT,id,nombre,direccion,materiales,mas_info,dia_hora,tipo,cooperativ,calle,altura,calle2,barrio,comuna
"POINT (-58.4619667981871 -34.5494187916243)",PV-079,ESTACIÓN NUÑEZ,GRECIA y PEDRAZA MANUELA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,GRECIA,,"PEDRAZA, MANUELA",NUÑEZ,COMUNA 13
"POINT (-58.4102548701315 -34.5832877380253)",PV-083,PARQUE LAS HERAS,"SALGUERO, JERONIMO 2450",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,"SALGUERO, JERONIMO","2450",,PALERMO,COMUNA 14
"POINT (-58.3838956997579 -34.5978542157469)",PV-002,PLAZA LIBERTAD,PARAGUAY y LIBERTAD,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,PARAGUAY,,LIBERTAD,RETIRO,COMUNA 1
"POINT (-58.4420730414789 -34.5491046789891)",PV-076,PASEO DE LAS AMERICAS,RAMSAY y BLANCO ENCALADA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,RAMSAY,,BLANCO ENCALADA,BELGRANO,COMUNA 13
"POINT (-58.4435123190713 -34.61268419597)",PV-027,PLAZA AMADEO SABATTINI,"COLPAYO y VALLESE, FELIPE",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,COLPAYO,,"VALLESE, FELIPE",CABALLITO,COMUNA 6
"POINT (-58.4935648658837 -34.6288848872043)",PV-057,PLAZA DE LA BANDERA,"JUSTO, JUAN B. AV. y GAONA AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,"JUSTO, JUAN B. AV.",,GAONA AV.,VELEZ SARSFIELD,COMUNA 10
"POINT (-58.4923580521678 -34.6202048393427)",PV-055,PLAZA CIUDAD DE UDINE,CHIVILCOY y CAMARONES,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,CHIVILCOY,,CAMARONES,FLORESTA,COMUNA 10
"POINT (-58.4825029422107 -34.6355949064026)",PV-056,PLAZA CORONEL RAMON FALCON,"FALCON, RAMON L. CNEL. y BENEDETTI, OSVALDO E. DIP. NAC.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,"FALCON, RAMON L. CNEL.",,"BENEDETTI, OSVALDO E. DIP.NAC.",VELEZ SARSFIELD,COMUNA 10
"POINT (-58.4975064570569 -34.553643227144)",PV-063,PLAZOLETA BALBIN,"BALBIN, RICARDO DR. AV. y ARIAS",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Las Madreselvas,"BALBIN, RICARDO DR. AV.",,ARIAS,SAAVEDRA,COMUNA 12
"POINT (-58.4768685819074 -34.5443034591689)",PV-064,PLAZA MAKENNA,CRAMER y RAMALLO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,CRAMER,,RAMALLO,SAAVEDRA,COMUNA 12
"POINT (-58.4770761350183 -34.5500695192027)",PV-066,PARQUE SAAVEDRA 2,GARCIA DEL RIO AV. y PINTO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,GARCIA DEL RIO AV.,,PINTO,SAAVEDRA,COMUNA 12
"POINT (-58.4060195134656 -34.6136312184285)",PV-011,PLAZA MANZANA 66,MORENO y JUJUY AV.,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,MORENO,,JUJUY AV.,BALVANERA,COMUNA 3
"POINT (-58.3963536828733 -34.629193592969)",PV-018,POLO CIRCO,INCLAN y PICHINCHA AV.,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,INCLAN,,PICHINCHA AV.,PARQUE PATRICIOS,COMUNA 4
"POINT (-58.4433288638415 -34.651102449447)",PV-031,VILLA 1.11.14,"MORENO, PERITO AV. y VARELA AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Recuperadores de villa,"MORENO, PERITO AV.",,VARELA AV.,FLORES,COMUNA 7
