WKT,id,nombre,direccion,materiales,mas_info,dia_hora,tipo,cooperativ,calle,altura,calle2,barrio,comuna
"POINT (-58.5204283597567 -34.6573485595094)",PV-047,PLAZA ROMULO ZABALA,ERCILLA 7502,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores del Oeste,ERCILLA,"7502",,MATADEROS,COMUNA 9
"POINT (-58.4842919488629 -34.6474575933788)",PV-041,PLAZA DOMINGO OLIVERA,OLIVERA AV. 824,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,OLIVERA AV.,"824",,PARQUE AVELLANEDA,COMUNA 9
"POINT (-58.4472357685429 -34.5392957558842)",PV-072,FADU / CIUDAD UNIVERSITARIA,"GUIRALDES, INT. 2560",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Las Madreselvas,"GUIRALDES, INT.","2160",,BELGRANO,COMUNA 13
"POINT (-58.397764371141 -34.5885011310972)",PV-004,PLAZA EMILIO MITRE,LAS HERAS GENERAL AV. y CANTILO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,LAS HERAS GRAL. AV.,,CANTILO,RECOLETA,COMUNA 2
"POINT (-58.3913549848406 -34.5987081339839)",PV-006,PLAZA PETRONILA RODRIGUEZ,RODRIGUEZ PEÑA y PARAGUAY,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,RODRIGUEZ PEÑA,,PARAGUAY,RECOLETA,COMUNA 2
"POINT (-58.4071985529688 -34.6259656145078)",PV-007,PLAZA MARTIN FIERRO,"URQUIZA, GRAL. y COCHABAMBA",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,URQUIZA GRAL.,,COCHABAMBA,SAN CRISTOBAL,COMUNA 3
"POINT (-58.3887439890382 -34.6508854106456)",PV-015,PARQUE LEONARDO PEREYRA,"VELEZ SARSFIELD AV. y IRIARTE, GRAL. AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Alelí,VELEZ SARSFIELD AV.,,"IRIARTE, GRAL. AV.",BARRACAS,COMUNA 4
"POINT (-58.4561543108361 -34.6215058115323)",PV-032,PLAZA ANGEL GRIS,AVELLANEDA AV. y CALCENA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,AVELLANEDA AV.,,CALCENA,FLORES,COMUNA 7
"POINT (-58.5009967461534 -34.5909186558872)",PV-071,PLAZA MARTIN RODRIGUEZ,HABANA y ARGERICH,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,HABANA,,ARGERICH,VILLA PUEYRREDON,COMUNA 12
"POINT (-58.4754548123401 -34.5732502136624)",PV-068,PLAZA ZAPIOLA,JURAMENTO y DONADO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,JURAMENTO,,DONADO,VILLA URQUIZA,COMUNA 12
